product,forums,news,twitter,video,convo_vol,positive_vol,neutral_vol,negative_vol,senti_score_avg,senti_score_wk,week,units,index,views,group,cat,period
g1,2186,1,3055,2582,7824,1276,5445,1103,59.71428571,53,63,18709,1.5369,25579317,g,Sports,postlaunch
g1,2184,0,2105,2748,7037,1521,4408,1108,66.28571429,76,64,19156,1.578066667,27442591,g,Sports,postlaunch
g1,1679,0,3105,3117,7901,1404,5210,1287,61,48,65,14803,1.703633333,31925791,g,Sports,postlaunch
g1,2422,3,2142,3124,7691,1660,4620,1411,62.57142857,59,66,10932,1.3123,29989549,g,Sports,postlaunch
g1,1811,2,2062,2903,6778,1402,3970,1406,57.42857143,60,67,13347,0.976733333,29817628,g,Sports,postlaunch
g1,1881,1,1898,3456,7236,1699,4089,1448,63.71428571,60,68,9580,0.898033333,27538004,g,Sports,postlaunch
g1,1616,1,2297,5153,9067,2088,4828,2151,56.28571429,57,69,8753,0.862333333,24879409,g,Sports,postlaunch
g1,1658,0,2480,4312,8450,1656,5047,1747,56,56,70,8052,0.829333333,25540669,g,Sports,postlaunch
g1,1488,0,1415,4783,7686,2031,4137,1518,67,80,71,6065,0.7645,23728977,g,Sports,postlaunch
g1,2266,0,1392,3646,7304,1690,3892,1722,57.42857143,63,72,6173,0.8111,25191217,g,Sports,postlaunch
g1,1926,1,994,4542,7463,1848,4181,1434,66.85714286,59,73,7101,0.8325,23547825,g,Sports,postlaunch
g1,1865,104,1465,4697,8131,2060,4482,1589,66.57142857,72,74,5856,0.763,25914069,g,Sports,postlaunch
g1,1417,4,1614,5588,8623,2133,4874,1616,67.85714286,72,75,4722,0.717366667,26564374,g,Sports,postlaunch
g1,1750,0,3295,6452,11497,2937,6315,2245,69.85714286,66,76,7888,0.796333333,24386283,g,Sports,postlaunch
g1,2702,0,4889,5972,13563,3262,7636,2665,65.14285714,71,77,10859,1.336466667,27242147,g,Sports,postlaunch
g1,3462,4,2718,7907,14091,3650,8045,2396,71.42857143,71,78,10685,1.511533333,29396057,g,Sports,postlaunch
g1,3718,1,1867,9090,14676,3759,8478,2439,71.14285714,67,79,9692,1.436566667,26937604,g,Sports,postlaunch
g1,3398,0,1648,13313,18359,5066,10364,2929,75.14285714,75,80,6312,1.1399,25944052,g,Sports,postlaunch
g1,3288,17,2030,10334,15669,4274,8372,3023,70.71428571,71,81,5744,1.1552,24087029,g,Sports,postlaunch
g1,3624,1,2120,10994,16739,4695,8929,3115,72.14285714,67,82,5345,0.9811,23831606,g,Sports,postlaunch
g1,3382,0,2139,11637,17158,5074,9053,3031,75.85714286,71,83,5497,1.0044,21771330,g,Sports,postlaunch
g1,2891,3,1735,10779,15408,4337,8234,2837,72.85714286,79,84,5075,0.858433333,18143544,g,Sports,postlaunch
g1,2992,1,1666,5177,9836,2494,5682,1660,70.28571429,66,85,5371,0.868266667,18086345,g,Sports,postlaunch
g1,2967,1,3014,6925,12907,3144,7750,2013,70.85714286,67,86,4752,0.790933333,18495028,g,Sports,postlaunch
g1,2353,1,1489,4037,7880,2112,4425,1343,72.85714286,66,87,4485,0.7159,17129354,g,Sports,postlaunch
g1,2367,0,1793,3534,7694,1827,4671,1196,70.28571429,69,88,3923,0.7005,17206480,g,Sports,postlaunch
g1,2453,21,1913,4055,8442,2237,4659,1546,70.71428571,68,89,2980,0.7232,15922726,g,Sports,postlaunch
g1,2057,3,3348,2836,8244,3069,4126,1049,76.71428571,74,90,3350,0.7078,15807917,g,Sports,postlaunch
g1,2033,2,880,2064,4979,1143,3042,794,67.57142857,76,91,3243,0.628,15062572,g,Sports,postlaunch
